Cobalt vanadate Co3V2O8
https://doi.org/10.1063/1.4953790

T(K)	k(W/m/K)
0.1644	0.0474
0.1794	0.0581
0.2035	0.0726
0.2237	0.0989
0.2579	0.1305
0.2996	0.1817
0.3294	0.2346
0.3708	0.3096
0.4109	0.4041
0.4625	0.5164
0.5374	0.7034
0.6244	0.9183
0.7084	1.1486
0.7912	1.4522
0.9048	1.8557
1.0186	2.2724
1.1557	2.7531
1.3217	3.3711
1.4762	3.9137
1.6749	4.4478
1.9614	5.0548
2.3520	5.2191
2.7111	5.0548
3.1005	4.5437
3.3818	3.8722
3.5739	3.4073
3.8069	2.8730
4.0872	2.3968
4.2184	2.0866
4.4230	1.7594
4.8242	1.0661
5.4738	1.2509
5.9234	1.4522
6.5636	1.7223
7.1591	1.9573
8.0591	2.3214
8.9301	2.8124
9.5877	3.4073
10.6239	4.3078
11.4062	5.3887
12.1499	6.5985
12.9420	8.6136
14.3407	11.4864
15.6418	14.9943
17.7477	20.2095
19.0546	24.4844
20.4577	30.3027
22.3137	37.5037
24.1467	44.9550
26.3373	53.3153
28.9544	59.9484
31.5812	65.9849
36.1172	67.4068
41.6321	63.9080
48.3695	59.3128
55.7552	50.5480
61.7813	43.0784
68.4587	37.1060
75.8578	31.6228
85.3942	25.2800
97.6595	20.8663
109.9367	18.1660
119.9105	15.3174
137.1333	12.6430
154.3730	10.7748
172.4136	9.2810
191.0482	8.3425
210.0321	7.4194


T(K)	cp(J/mol/K)
1.5966	0.1754
2.8571	0.7018
4.1176	1.4035
5.0420	2.2807
5.7983	4.9123
6.0504	107.0175
6.3866	20.8772
6.5546	11.5789
6.7227	9.6491
6.8908	8.2456
7.1429	5.9649
7.9832	6.4912
8.6555	7.3684
9.1597	7.8947
9.8319	9.2982
10.1681	11.0526
10.7563	12.2807
11.0924	14.9123
11.3445	13.3333
11.5126	11.2281
11.7647	8.9474
12.5210	8.0702
13.2773	7.3684
14.4538	7.1930
15.6303	7.0175
16.7227	7.1930
18.0672	6.8421
19.3277	7.0175
20.5882	6.6667
22.0168	7.3684
23.1933	7.7193
24.3697	8.0702
26.7227	8.7719
28.9076	9.6491
30.7563	11.0526
32.6891	12.2807
34.9580	13.6842
36.3025	14.5614
37.9832	15.9649
39.6639	17.8947
41.7647	19.6491
43.2773	21.4035
44.8739	22.9825
46.6387	25.9649
48.2353	28.0702
49.9160	30.5263
51.3445	32.8070
53.2773	35.0877
54.8739	38.0702
55.9664	39.6491
57.0588	40.8772
58.1513	42.8070
59.2437	44.3860
60.0840	45.4386


Molar mass = 406.6778 g/mol (https://www.webqc.org/molecular-weight-of-Co3V2O8.html)

T(K)	cp(J/kg/K)
1.5966	0.4313
2.8571	1.7257
4.1176	3.4511
5.042	5.6081
5.7983	12.0791
6.0504	263.1506
6.3866	51.3360
6.5546	28.4719
6.7227	23.7266
6.8908	20.2755
7.1429	14.6674
7.9832	15.9615
8.6555	18.1185
9.1597	19.4127
9.8319	22.8638
10.1681	27.1778
10.7563	30.1976
11.0924	36.6686
11.3445	32.7859
11.5126	27.6093
11.7647	22.0012
12.521	19.8442
13.2773	18.1185
14.4538	17.6872
15.6303	17.2557
16.7227	17.6872
18.0672	16.8244
19.3277	17.2557
20.5882	16.3931
22.0168	18.1185
23.1933	18.9814
24.3697	19.8442
26.7227	21.5697
28.9076	23.7266
30.7563	27.1778
32.6891	30.1976
34.958	33.6488
36.3025	35.8057
37.9832	39.2569
39.6639	44.0022
41.7647	48.3161
43.2773	52.6301
44.8739	56.5128
46.6387	63.8464
48.2353	69.0232
49.916	75.0626
51.3445	80.6707
53.2773	86.2789
54.8739	93.6127
55.9664	97.4951
57.0588	100.5150
58.1513	105.2602
59.2437	109.1429
60.084	111.7312
