0	1	-1	2	-2
290	0.02	-0.04	0	-0.09
290.5	0.02	-0.04	0.01	-0.09
291	0.02	-0.04	0.02	-0.09
291.5	0.02	-0.04	0.03	-0.09
292	0.03	-0.04	0.04	-0.09
292.5	0.03	-0.05	0.04	-0.09
293	0.04	-0.05	0.04	-0.09
293.5	0.04	-0.06	0.05	-0.09
294	0.05	-0.06	0.05	-0.09
294.5	0.05	-0.06	0.05	-0.09
295	0.05	-0.06	0.05	-0.09
295.5	0.05	-0.06	0.05	-0.09
296	0.05	-0.06	0.05	-0.09
296.5	0.05	-0.06	0.05	-0.09
297	0.05	-0.07	0.05	-0.09
297.5	0.05	-0.07	0.05	-0.09
298	0.05	-0.07	0.05	-0.09
298.5	0.05	-0.08	0.05	-0.09
299	0.06	-0.08	0.05	-0.09
299.5	0.06	-0.08	0.11	-0.09
300	0.06	-0.08	0.17	-0.1
300.5	0.06	-0.08	0.23	-0.14
301	0.07	-0.08	0.3	-0.19
301.5	0.06	-0.09	0.43	-0.22
302	0.06	-0.09	0.58	-0.25
302.5	0.06	-0.09	0.79	-0.28
303	0.05	-0.1	1.02	-0.31
303.5	0.05	-0.1	1.32	-0.37
304	0.05	-0.11	1.62	-0.44
304.5	0.05	-0.11	1.92	-0.57
305	0.05	-0.1	2.24	-0.7
305.5	0.05	-0.09	2.62	-0.85
306	0.05	-0.08	2.99	-1
306.5	0.06	-0.11	3.4	-1.17
307	0.08	-0.13	3.82	-1.34
307.5	0.11	-0.16	4.2	-1.53
308	0.13	-0.17	4.58	-1.78
308.5	0.15	-0.19	4.93	-2.16
309	0.17	-0.2	5.26	-2.41
309.5	0.21	-0.22	5.42	-2.74
310	0.31	-0.24	5.58	-3.17
310.5	0.41	-0.27	5.78	-3.55
311	0.52	-0.29	5.98	-3.97
311.5	0.66	-0.33	6.05	-4.3
312	0.83	-0.37	6.1	-4.58
312.5	1.08	-0.4	6.03	-4.87
313	1.35	-0.47	5.92	-5.16
313.5	1.74	-0.54	5.77	-5.48
314	2.13	-0.67	5.61	-5.91
314.5	2.5	-0.86	5.38	-6.14
315	2.85	-1.13	5.14	-6.21
315.5	3.18	-1.35	4.8	-6.19
316	3.47	-1.48	4.45	-5.59
316.5	3.52	-1.48	4.05	-4.56
317	3.41	-1.4	3.64	-2.78
317.5	3.03	-1.28	3.23	-2.14
318	2.67	-1.11	2.82	-1.9
318.5	2.36	-0.97	2.4	-1.68
319	2.03	-0.84	1.91	-1.47
319.5	1.66	-0.73	1.58	-1.36
320	1.3	-0.63	1.34	-1.27
320.5	0.99	-0.56	1.09	-1.17
321	0.73	-0.51	0.85	-1.09
321.5	0.56	-0.46	0.62	-1
322	0.44	-0.4	0.47	-0.91
322.5	0.37	-0.33	0.38	-0.83
323	0.31	-0.28	0.29	-0.74
323.5	0.21	-0.26	0.21	-0.65
324	0.13	-0.24	0.17	-0.61
324.5	0.11	-0.23	0.14	-0.57
325	0.1	-0.22	0.11	-0.53
325.5	0.09	-0.21	0.09	-0.49
326	0.09	-0.2	0.06	-0.44
326.5	0.08	-0.18	0.04	-0.39
327	0.08	-0.16	0.04	-0.34
327.5	0.07	-0.17	0.04	-0.29
328	0.05	-0.18	0.04	-0.27
328.5	0.04	-0.19	0.04	-0.27
329	0.03	-0.19	0.04	-0.27
