name,invariant,thermoelectric,temperature_induced_phase_change,electrocaloric,magnetocaloric,barocaloric,elastocaloric,cpThysteresis,dTThysteresis,kThysteresis
100001-Inox,1,,,,,,,,,
100002-Gd,,,,,1,,,,1,
500001-Si,1,,,,,,,,,
100003-LaFeMnSiH,,,,,1,,,1,1,
200001-LaCoO,1,,,,,,,,,
200002-LaSrCoO,1,,,,,,,,,
500002-AgTe,,,1,,,,,,,
500003-AgSSe,,,1,,,,,,,
500004-AgSSe,,,1,,,,,,,
400001-PFH-O,,,1,,,,,,,1
300002-PMMA,1,,,,,,,,,
200003-Quartz,1,,,,,,,,,
510005-MoS,1,,,,,,,,,
500006-Graphite,1,,,,,,,,,
100004-NiTi,,,1,,,,,,,1
100005-Ag,1,,,,,,,,,
200004-BeO,1,,,,,,,,,
